id,max_features,Val_score,Train_score,train_time(sec),Test_score
1.0,1.0,0.673,0.726,0.003001,0.725
2.0,2.0,0.794,0.83,0.002,0.774
3.0,3.0,0.764,0.81,0.002,0.793
4.0,4.0,0.885,0.917,0.002002,0.89
5.0,5.0,0.885,0.911,0.003001,0.872
6.0,6.0,0.877,0.914,0.003001,0.855
7.0,7.0,0.921,0.942,0.003001,0.877
8.0,8.0,0.905,0.935,0.003,0.87
9.0,9.0,0.927,0.955,0.003001,0.915
10.0,10.0,0.926,0.93,0.003,0.892
11.0,11.0,0.961,0.957,0.003001,0.931
12.0,12.0,0.921,0.95,0.003125,0.904
13.0,13.0,0.943,0.961,0.003001,0.902
14.0,14.0,0.944,0.954,0.004,0.907
15.0,15.0,0.927,0.953,0.004,0.888
16.0,16.0,0.919,0.934,0.004001,0.876
17.0,17.0,0.952,0.961,0.004001,0.917
18.0,18.0,0.921,0.951,0.004,0.9
19.0,19.0,0.937,0.959,0.004001,0.919
